condition,model,position_id,contrast,diff_pts
congruent,gemini,w13,small_minus_large,NA
congruent,gemini,w14,small_minus_large,NA
congruent,gemini,e00,edge_minus_large,NA
congruent,gemini,e01,edge_minus_large,NA
congruent,gemini,e03,edge_minus_large,NA
congruent,gemini,e04,edge_minus_large,NA
congruent,gemini,e05,edge_minus_large,NA
congruent,gemini,e06,edge_minus_large,NA
congruent,gemini,e07,edge_minus_large,NA
congruent,gemini,e08,edge_minus_large,NA
congruent,gemini,e09,edge_minus_large,NA
congruent,gemini,e10,edge_minus_large,NA
congruent,gemini,e11,edge_minus_large,NA
congruent,gemini,e12,edge_minus_large,NA
congruent,gemini,e13,edge_minus_large,NA
congruent,gemini,e14,edge_minus_large,NA
congruent,gemini,w00,edge_minus_large,NA
congruent,gemini,w01,edge_minus_large,NA
congruent,gemini,w02,edge_minus_large,NA
congruent,gemini,w03,edge_minus_large,NA
congruent,gemini,w04,edge_minus_large,NA
congruent,gemini,w05,edge_minus_large,NA
congruent,gemini,w06,edge_minus_large,NA
congruent,gemini,w07,edge_minus_large,NA
congruent,gemini,w08,edge_minus_large,NA
congruent,gemini,w09,edge_minus_large,NA
congruent,gemini,w10,edge_minus_large,NA
congruent,gemini,w11,edge_minus_large,NA
congruent,gemini,w12,edge_minus_large,NA
congruent,gemini,w13,edge_minus_large,NA
congruent,gemini,w14,edge_minus_large,NA
dims,gpt,e00,small_minus_large,NA
dims,gpt,e01,small_minus_large,NA
dims,gpt,e03,small_minus_large,NA
dims,gpt,e04,small_minus_large,NA
dims,gpt,e05,small_minus_large,NA
dims,gpt,e06,small_minus_large,NA
dims,gpt,e07,small_minus_large,NA
dims,gpt,e08,small_minus_large,NA
dims,gpt,e09,small_minus_large,NA
dims,gpt,e10,small_minus_large,NA
dims,gpt,e11,small_minus_large,NA
dims,gpt,e12,small_minus_large,NA
dims,gpt,e13,small_minus_large,NA
dims,gpt,e14,small_minus_large,NA
dims,gpt,w00,small_minus_large,NA
dims,gpt,w01,small_minus_large,NA
dims,gpt,w02,small_minus_large,NA
dims,gpt,w03,small_minus_large,NA
dims,gpt,w04,small_minus_large,NA
dims,gpt,w05,small_minus_large,NA
dims,gpt,w06,small_minus_large,NA
dims,gpt,w07,small_minus_large,NA
dims,gpt,w08,small_minus_large,NA
dims,gpt,w09,small_minus_large,NA
dims,gpt,w10,small_minus_large,NA
dims,gpt,w11,small_minus_large,NA
dims,gpt,w12,small_minus_large,NA
dims,gpt,w13,small_minus_large,NA
dims,gpt,w14,small_minus_large,NA
dims,gpt,e00,edge_minus_large,NA
dims,gpt,e01,edge_minus_large,NA
dims,gpt,e03,edge_minus_large,NA
dims,gpt,e04,edge_minus_large,NA
dims,gpt,e05,edge_minus_large,NA
dims,gpt,e06,edge_minus_large,NA
dims,gpt,e07,edge_minus_large,NA
dims,gpt,e08,edge_minus_large,NA
dims,gpt,e09,edge_minus_large,NA
dims,gpt,e10,edge_minus_large,NA
dims,gpt,e11,edge_minus_large,NA
dims,gpt,e12,edge_minus_large,NA
dims,gpt,e13,edge_minus_large,NA
dims,gpt,e14,edge_minus_large,NA
dims,gpt,w00,edge_minus_large,NA
dims,gpt,w01,edge_minus_large,NA
dims,gpt,w02,edge_minus_large,NA
dims,gpt,w03,edge_minus_large,NA
dims,gpt,w04,edge_minus_large,NA
dims,gpt,w05,edge_minus_large,NA
dims,gpt,w06,edge_minus_large,NA
dims,gpt,w07,edge_minus_large,NA
dims,gpt,w08,edge_minus_large,NA
dims,gpt,w09,edge_minus_large,NA
dims,gpt,w10,edge_minus_large,NA
dims,gpt,w11,edge_minus_large,NA
dims,gpt,w12,edge_minus_large,NA
dims,gpt,w13,edge_minus_large,NA
dims,gpt,w14,edge_minus_large,NA
dims,gemini,e00,small_minus_large,NA
dims,gemini,e01,small_minus_large,NA
dims,gemini,e03,small_minus_large,NA
dims,gemini,e04,small_minus_large,NA
dims,gemini,e05,small_minus_large,NA
dims,gemini,e06,small_minus_large,NA
dims,gemini,e07,small_minus_large,NA
dims,gemini,e08,small_minus_large,NA
dims,gemini,e09,small_minus_large,NA
dims,gemini,e10,small_minus_large,NA
dims,gemini,e11,small_minus_large,NA
dims,gemini,e12,small_minus_large,NA
dims,gemini,e13,small_minus_large,NA
dims,gemini,e14,small_minus_large,NA
dims,gemini,w00,small_minus_large,NA
dims,gemini,w01,small_minus_large,NA
dims,gemini,w02,small_minus_large,NA
dims,gemini,w03,small_minus_large,NA
dims,gemini,w04,small_minus_large,NA
dims,gemini,w05,small_minus_large,NA
dims,gemini,w06,small_minus_large,NA
dims,gemini,w07,small_minus_large,NA
dims,gemini,w08,small_minus_large,NA
dims,gemini,w09,small_minus_large,NA
dims,gemini,w10,small_minus_large,NA
dims,gemini,w11,small_minus_large,NA
dims,gemini,w12,small_minus_large,NA
dims,gemini,w13,small_minus_large,NA
dims,gemini,w14,small_minus_large,NA
dims,gemini,e00,edge_minus_large,NA
dims,gemini,e01,edge_minus_large,NA
dims,gemini,e03,edge_minus_large,NA
dims,gemini,e04,edge_minus_large,NA
dims,gemini,e05,edge_minus_large,NA
dims,gemini,e06,edge_minus_large,NA
dims,gemini,e07,edge_minus_large,NA
dims,gemini,e08,edge_minus_large,NA
dims,gemini,e09,edge_minus_large,NA
dims,gemini,e10,edge_minus_large,NA
dims,gemini,e11,edge_minus_large,NA
dims,gemini,e12,edge_minus_large,NA
dims,gemini,e13,edge_minus_large,NA
dims,gemini,e14,edge_minus_large,NA
dims,gemini,w00,edge_minus_large,NA
dims,gemini,w01,edge_minus_large,NA
dims,gemini,w02,edge_minus_large,NA
dims,gemini,w03,edge_minus_large,NA
dims,gemini,w04,edge_minus_large,NA
dims,gemini,w05,edge_minus_large,NA
dims,gemini,w06,edge_minus_large,NA
dims,gemini,w07,edge_minus_large,NA
dims,gemini,w08,edge_minus_large,NA
dims,gemini,w09,edge_minus_large,NA
dims,gemini,w10,edge_minus_large,NA
dims,gemini,w11,edge_minus_large,NA
dims,gemini,w12,edge_minus_large,NA
dims,gemini,w13,edge_minus_large,NA
dims,gemini,w14,edge_minus_large,NA
